# RIPTE - Remuneración imponible promedio de los trabajadores estables
# Organismo: Secretaria de Trabajo, Empleo y Seguridad Social - frecuencia: mensual
# serie_id: 158.1_REPTE_0_0_5
# Fuente: https://apis.datos.gob.ar/series/api/series/?ids=158.1_REPTE_0_0_5&format=csv&start_date=1994-07
# Descargado: 2026-09-13  (385 periodos, 1994-07 a 2026-07)
# Pesos corrientes.
# Es la serie que usa el art.
# 12 LRT texto Ley 27.348.
periodo,indice
1994-07,874.87
1994-08,893.0
1994-09,907.99
1994-10,910.75
1994-11,916.93
1994-12,936.83
1995-01,934.85
1995-02,928.29
1995-03,931.37
1995-04,909.07
1995-05,920.51
1995-06,944.4
1995-07,914.41
1995-08,912.86
1995-09,914.69
1995-10,916.48
1995-11,921.41
1995-12,938.88
1996-01,938.19
1996-02,933.47
1996-03,932.13
1996-04,924.13
1996-05,929.27
1996-06,940.95
1996-07,930.16
1996-08,936.68
1996-09,939.25
1996-10,940.12
1996-11,921.9
1996-12,940.06
1997-01,923.49
1997-02,923.58
1997-03,919.47
1997-04,912.02
1997-05,914.59
1997-06,928.71
1997-07,905.95
1997-08,898.67
1997-09,910.27
1997-10,913.02
1997-11,899.56
1997-12,915.57
1998-01,912.48
1998-02,908.13
1998-03,910.79
1998-04,899.86
1998-05,896.37
1998-06,920.38
1998-07,898.35
1998-08,888.71
1998-09,894.03
1998-10,892.2
1998-11,891.18
1998-12,905.15
1999-01,890.77
1999-02,897.38
1999-03,896.72
1999-04,884.93
1999-05,883.81
1999-06,898.59
1999-07,888.23
1999-08,883.4
1999-09,886.14
1999-10,888.3
1999-11,887.21
1999-12,892.14
2000-01,888.29
2000-02,893.47
2000-03,889.13
2000-04,871.69
2000-05,878.6
2000-06,903.02
2000-07,882.35
2000-08,881.81
2000-09,883.15
2000-10,879.95
2000-11,877.91
2000-12,884.83
2001-01,887.75
2001-02,892.27
2001-03,892.12
2001-04,884.92
2001-05,882.57
2001-06,889.09
2001-07,881.29
2001-08,879.63
2001-09,876.4
2001-10,880.26
2001-11,875.83
2001-12,870.52
2002-01,875.77
2002-02,887.02
2002-03,882.39
2002-04,882.13
2002-05,882.12
2002-06,874.52
2002-07,906.76
2002-08,885.3
2002-09,891.87
2002-10,900.78
2002-11,894.65
2002-12,900.69
2003-01,882.03
2003-02,890.6
2003-03,892.09
2003-04,889.92
2003-05,887.23
2003-06,903.82
2003-07,918.96
2003-08,941.34
2003-09,971.97
2003-10,1008.52
2003-11,1020.36
2003-12,1040.73
2004-01,1065.01
2004-02,1090.92
2004-03,1102.42
2004-04,1099.03
2004-05,1088.57
2004-06,1100.62
2004-07,1087.79
2004-08,1085.02
2004-09,1083.64
2004-10,1088.43
2004-11,1090.41
2004-12,1102.69
2005-01,1101.82
2005-02,1102.37
2005-03,1113.64
2005-04,1156.06
2005-05,1170.58
2005-06,1196.59
2005-07,1231.34
2005-08,1277.97
2005-09,1304.53
2005-10,1352.94
2005-11,1366.43
2005-12,1371.54
2006-01,1388.13
2006-02,1407.77
2006-03,1441.65
2006-04,1465.06
2006-05,1502.34
2006-06,1527.82
2006-07,1554.83
2006-08,1583.35
2006-09,1596.46
2006-10,1634.32
2006-11,1641.74
2006-12,1672.88
2007-01,1693.86
2007-02,1728.39
2007-03,1764.52
2007-04,1815.39
2007-05,1830.07
2007-06,1837.71
2007-07,1896.64
2007-08,1941.51
2007-09,1946.53
2007-10,2019.04
2007-11,2020.25
2007-12,2042.46
2008-01,2050.27
2008-02,2130.98
2008-03,2190.53
2008-04,2336.11
2008-05,2383.41
2008-06,2400.12
2008-07,2485.91
2008-08,2530.74
2008-09,2585.35
2008-10,2628.32
2008-11,2592.17
2008-12,2625.44
2009-01,2594.54
2009-02,2578.64
2009-03,2681.73
2009-04,2731.19
2009-05,2698.39
2009-06,2780.38
2009-07,2803.3
2009-08,2829.14
2009-09,2752.01
2009-10,2795.21
2009-11,2789.73
2009-12,3015.95
2010-01,3011.99
2010-02,3110.52
2010-03,3233.2
2010-04,3305.06
2010-05,3340.58
2010-06,3399.89
2010-07,3485.26
2010-08,3570.19
2010-09,3719.15
2010-10,3795.5
2010-11,3842.72
2010-12,3885.52
2011-01,3935.3
2011-02,4017.23
2011-03,4289.54
2011-04,4343.04
2011-05,4510.43
2011-06,4575.38
2011-07,4718.9
2011-08,4875.01
2011-09,5034.58
2011-10,5115.77
2011-11,5242.9
2011-12,5280.28
2012-01,5350.76
2012-02,5501.32
2012-03,5711.74
2012-04,5983.14
2012-05,6163.78
2012-06,6193.16
2012-07,6413.3
2012-08,6468.61
2012-09,6577.58
2012-10,6743.8
2012-11,6907.3
2012-12,6985.82
2013-01,7063.81
2013-02,7300.21
2013-03,7490.7
2013-04,7634.27
2013-05,7896.3
2013-06,7985.95
2013-07,8176.79
2013-08,8255.89
2013-09,8439.6
2013-10,8626.56
2013-11,8666.72
2013-12,8743.73
2014-01,8785.03
2014-02,9249.21
2014-03,9634.75
2014-04,10156.89
2014-05,10295.0
2014-06,10394.2
2014-07,10894.91
2014-08,10946.2
2014-09,11393.26
2014-10,11730.67
2014-11,11709.66
2014-12,11953.5
2015-01,11997.96
2015-02,12410.76
2015-03,12869.99
2015-04,13077.29
2015-05,13556.91
2015-06,14104.4
2015-07,14535.78
2015-08,14598.39
2015-09,14983.39
2015-10,15202.43
2015-11,15526.15
2015-12,15800.97
2016-01,15822.89
2016-02,16520.52
2016-03,16977.26
2016-04,17691.29
2016-05,18042.71
2016-06,18277.57
2016-07,18988.44
2016-08,19216.78
2016-09,19666.45
2016-10,20069.28
2016-11,20422.65
2016-12,20690.14
2017-01,21048.21
2017-02,21483.03
2017-03,22285.48
2017-04,22650.53
2017-05,23029.98
2017-06,23469.98
2017-07,24489.17
2017-08,24700.42
2017-09,25136.35
2017-10,25843.46
2017-11,26177.83
2017-12,26301.42
2018-01,26929.81
2018-02,27440.22
